date,reference,Equal,PCA-like,Gradual,SVM,DecTree,XGBoost,LSTM,GRU,LSTM-Att,GRU-Att
2019/1/3,0.993470304,1.002724003,1.002724003,1.002274278,1.002558739,1.002558739,1.049222678,1.002169023,1.002274278,1.002274278,1.002274278
2019/1/4,1.018576575,1.025729269,1.025729269,1.025085876,1.025563946,1.025563946,1.049222678,1.02517409,1.025085876,1.025085876,1.024914854
2019/1/7,1.035423563,1.041448231,1.041448231,1.040892197,1.04170233,1.041624232,1.08656896,1.041312478,1.040892197,1.040892197,1.040733328
2019/1/8,1.032377557,1.043730895,1.043730895,1.04202932,1.042918027,1.042827664,1.095476425,1.042488556,1.041953143,1.04202932,1.041746543
2019/1/9,1.037885416,1.048526191,1.048526191,1.046820421,1.047583227,1.047499002,1.107997838,1.047252513,1.046717138,1.046820421,1.046486576
2019/1/10,1.034251232,1.048625835,1.048625835,1.046777426,1.047540245,1.047328882,1.117904448,1.047209526,1.046667983,1.046777426,1.046449732
2019/1/11,1.040372189,1.056584505,1.056584505,1.05490579,1.055581702,1.055450535,1.132983088,1.05546241,1.054794013,1.054909619,1.054578085
2019/1/14,1.034350817,1.058115539,1.058115539,1.056820639,1.057882874,1.057269636,1.139903146,1.057763738,1.056709136,1.056814228,1.056492937
2019/1/15,1.051788675,1.066822108,1.066822108,1.065251766,1.06655116,1.065944222,1.1579174,1.066024871,1.06496409,1.065062961,1.064906609
2019/1/16,1.051803016,1.068327479,1.068327479,1.066749608,1.067767085,1.067153854,1.169199746,1.067326219,1.06644938,1.066548254,1.066485908
2019/1/17,1.044692528,1.064347991,1.064347991,1.062600514,1.063835292,1.063056448,1.179973777,1.06340069,1.062306569,1.062405441,1.062044491
2019/1/18,1.050289986,1.068599961,1.068523482,1.066339843,1.067855184,1.067197535,1.190946238,1.067414333,1.066359284,1.066458152,1.065783839
2019/1/21,1.056675934,1.07149082,1.071420643,1.069188506,1.070845814,1.070200696,1.198959233,1.070404945,1.069201674,1.069300547,1.068405191
2019/1/22,1.043809411,1.063627999,1.063551517,1.06106158,1.062835448,1.062131563,1.196917197,1.062394582,1.061151555,1.061250427,1.060034712
2019/1/23,1.045772199,1.066901393,1.06694432,1.064533345,1.066282084,1.065507427,1.21181751,1.065603233,1.064111645,1.064210516,1.063230758
2019/1/24,1.04997734,1.070271315,1.070230715,1.067960642,1.069601307,1.068832928,1.216705043,1.068928753,1.067545223,1.067644095,1.066622666
2019/1/25,1.0447786,1.064749398,1.064715062,1.062556673,1.064221931,1.063453552,1.220189283,1.063543088,1.062071651,1.062233849,1.061135925
2019/1/28,1.043202405,1.062667581,1.062626981,1.060411401,1.061980745,1.06114544,1.220967957,1.061057589,1.059557112,1.05971931,1.058996879
