date,reference,mom-rob,mom-dif-rob,MACD-rob,RSI-rob,Vol-rob,Amo-rob,VWR-rob,VUS-rob,STD-rob,ATR-rob,Vot-Idea
2019/1/3,0.993470304,1.001468224,0.995782597,1.003933989,0.996476122,1.000054845,1.002558739,0.994612992,0.998422121,0.9956696,1.001043553,0.997797961
2019/1/4,1.018576575,1.023614869,1.021474501,1.026953246,1.011185192,1.02199109,1.025511922,1.017050296,1.021237224,1.016435639,1.024234608,1.021618776
2019/1/7,1.035423563,1.044828949,1.037857079,1.040323431,1.023647739,1.037399475,1.041572207,1.033661756,1.038007296,1.034129576,1.0418485,1.038001528
2019/1/8,1.032377557,1.046703293,1.037567375,1.040422236,1.021142464,1.037359434,1.043900621,1.033798946,1.037256257,1.034836355,1.041511091,1.038417866
2019/1/9,1.037885416,1.052057695,1.040188004,1.041108166,1.021336687,1.040828263,1.048689773,1.035495216,1.043378948,1.042147122,1.046278202,1.044832033
2019/1/10,1.034251232,1.052247863,1.035534348,1.037905912,1.017737179,1.039847388,1.048583271,1.032113577,1.040867945,1.041580799,1.049357054,1.043359572
2019/1/11,1.040372189,1.059156497,1.044529066,1.045727003,1.024608083,1.045837186,1.056698078,1.038943015,1.04920415,1.050683263,1.061781431,1.054922658
2019/1/14,1.034350817,1.05979736,1.045041003,1.042496694,1.023464955,1.041188574,1.058229102,1.035575867,1.045279904,1.049539834,1.066401429,1.049899408
2019/1/15,1.051788675,1.06895657,1.053556481,1.051089855,1.037099164,1.049569964,1.066903648,1.048404218,1.054072323,1.058717953,1.073158107,1.059718861
2019/1/16,1.051803016,1.068812758,1.052306778,1.048485788,1.037505886,1.050557666,1.06840903,1.05384779,1.051833505,1.054102762,1.073165174,1.059426918
2019/1/17,1.044692528,1.063205727,1.04575049,1.041226392,1.032263508,1.044508001,1.064311625,1.045330537,1.044451617,1.048466469,1.069454715,1.048748715
2019/1/18,1.050289986,1.073196312,1.055310099,1.048642959,1.043323859,1.048800153,1.068458937,1.050833923,1.05430204,1.055709756,1.078624634,1.057870864
2019/1/21,1.056675934,1.077673927,1.058429096,1.052720149,1.046319044,1.052432279,1.071245802,1.056174673,1.059552693,1.057699658,1.079405985,1.061196402
2019/1/22,1.043809411,1.0685581,1.046081841,1.046287421,1.03655727,1.043962837,1.063376675,1.046662492,1.045647853,1.048435843,1.075287735,1.051885868
2019/1/23,1.045772199,1.071542971,1.04740107,1.045940189,1.037932464,1.045493063,1.066876064,1.047796325,1.047270247,1.050615509,1.075053421,1.05550351
2019/1/24,1.04997734,1.078985101,1.052137265,1.048165831,1.043544878,1.047077358,1.070259338,1.048279928,1.050128211,1.056597494,1.079141131,1.060138135
