index,mom-rob,mom-dif-rob,MACD-rob,RSI-rob,Vol-rob,Amo-rob,VWR-rob,VUS-rob,STD-rob,ATR-rob,Vot-Idea,Equal,PCA-like,Gradual,SVM,DecTree,XGBoost,LSTM,GRU,LSTM-Att,GRU-Att
0,000731.SZ,600797.SH,000541.SZ,000413.SZ,600265.SH,000413.SZ,600860.SH,600288.SH,000055.SZ,000629.SZ,600797.SH,000413.SZ,000413.SZ,000001.SZ,000001.SZ,000001.SZ,000981.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ
1,600088.SH,600727.SH,000968.SZ,000782.SZ,000985.SZ,600766.SH,000707.SZ,600703.SH,600268.SH,600208.SH,600791.SH,600766.SH,600766.SH,000002.SZ,000002.SZ,000002.SZ,600766.SH,000002.SZ,000002.SZ,000002.SZ,000002.SZ
2,600704.SH,600743.SH,000612.SZ,000883.SZ,600182.SH,600647.SH,000590.SZ,600089.SH,600159.SH,600622.SH,600857.SH,600865.SH,600647.SH,000004.SZ,000004.SZ,000004.SZ,600647.SH,000004.SZ,000004.SZ,000004.SZ,000004.SZ
3,000419.SZ,000409.SZ,600839.SH,600654.SH,600137.SH,600865.SH,600778.SH,000700.SZ,000593.SZ,000608.SZ,600616.SH,600647.SH,600865.SH,000006.SZ,000006.SZ,000006.SZ,600187.SH,000006.SZ,000006.SZ,000006.SZ,000006.SZ
4,000926.SZ,000513.SZ,600710.SH,000582.SZ,600865.SH,000910.SZ,600053.SH,600802.SH,600792.SH,600691.SH,600793.SH,000910.SZ,000910.SZ,000008.SZ,000008.SZ,000008.SZ,000702.SZ,000008.SZ,000008.SZ,000008.SZ,000008.SZ
5,000672.SZ,000911.SZ,600238.SH,000048.SZ,000869.SZ,600193.SH,600779.SH,000544.SZ,000910.SZ,600279.SH,600845.SH,600193.SH,600193.SH,000009.SZ,000009.SZ,000009.SZ,600686.SH,000009.SZ,000009.SZ,000009.SZ,000009.SZ
6,000707.SZ,000727.SZ,600707.SH,000708.SZ,000910.SZ,600279.SH,000565.SZ,000903.SZ,000419.SZ,000571.SZ,600893.SH,600279.SH,600279.SH,000010.SZ,000010.SZ,000010.SZ,001696.SZ,000010.SZ,000010.SZ,000010.SZ,000010.SZ
7,600739.SH,000930.SZ,000686.SZ,600820.SH,000695.SZ,600241.SH,600229.SH,600865.SH,600135.SH,000755.SZ,600875.SH,600241.SH,600241.SH,000011.SZ,000011.SZ,000011.SZ,000980.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ
8,000089.SZ,000520.SZ,000929.SZ,000637.SZ,600259.SH,600265.SH,600333.SH,600173.SH,000665.SZ,000055.SZ,600256.SH,600265.SH,600265.SH,000012.SZ,000012.SZ,000012.SZ,600611.SH,000012.SZ,000012.SZ,000012.SZ,000012.SZ
9,000782.SZ,600872.SH,600698.SH,000672.SZ,600241.SH,000782.SZ,600616.SH,600694.SH,000507.SZ,600725.SH,600886.SH,000782.SZ,000782.SZ,000014.SZ,000014.SZ,000014.SZ,000547.SZ,000014.SZ,000014.SZ,000014.SZ,000014.SZ
